id	miner	hash	time	difficulty	chainwork
550332	BTC.TOP	000000000000000000b7876f026914b05f8eb91913d878a227d6f994421297fb	2018-10-01 22:14:50	556640024459.83	000000000000000000000000000000000000000000c67d1f3598678c8d68c618
550333	CoinGeek	000000000000000001c83511dc049f32d2fb6cbe22d3272da0251c43967e212e	2018-10-01 22:15:10	556829291961.67	000000000000000000000000000000000000000000c67da0dbb6c3649546621f
550334	Unknown	00000000000000000030e95bcb0d95b76001f32d0704437ed27dd3c115faefbb	2018-10-01 22:32:34	559197362396.3	000000000000000000000000000000000000000000c67e230efb8f85ae76db53
550335	Unknown	0000000000000000006334a0cc9135f4522397cd0732b8c954d14dcef2302a93	2018-10-01 22:39:14	568744333009.46	000000000000000000000000000000000000000000c67ea77b4dcaa95ea02c9f
550336	BTC.com	000000000000000000765d76033bbb795f0ebe684bbaf7741d0315f62daac047	2018-10-01 22:43:26	563434368559.21	000000000000000000000000000000000000000000c67f2aab1f28a9f235f828
550337	ViaBTC	00000000000000000054878e8ee3157349871f2f5f9e683bafb976ca9df96948	2018-10-01 22:45:18	564453923610.14	000000000000000000000000000000000000000000c67fae17b5f05adec7df51
550338	CoinGeek	000000000000000000a4246427815fa5e49ae99556fb7d9c324688c302a118bf	2018-10-01 23:13:10	563698833794.63	000000000000000000000000000000000000000000c68031574ac972598bb417
550339	BMG Pool	0000000000000000010fbd95c707f7a71d14001930f66ad0c5d2320a89af1eb5	2018-10-01 23:30:07	564334564442.69	000000000000000000000000000000000000000000c680b4bcc443468379254a
550340	Northern Bitcoin	000000000000000001a97a304b2fd952548ddc1dd552fad69296d20f3c4c2e4e	2018-10-01 23:44:12	554515329764.9	000000000000000000000000000000000000000000c68135d8f5d25cf969c067
550341	Unknown	00000000000000000012886af45c580070556025257293bd734b3e5231eaf1b8	2018-10-01 23:53:06	550625421443.04	000000000000000000000000000000000000000000c681b60d4b2f355fbf866a
550342	Unknown	0000000000000000004039a8fd1e32dbc6dc48bb5d4d182a294e3ff5795bd5db	2018-10-01 23:53:19	546060417608.01	000000000000000000000000000000000000000000c6823531870db940cb0806
550343	BTC.TOP	0000000000000000016c388b058b02db14d9adc6c127d783f8efa6d5289f245f	2018-10-01 23:54:36	544048431622.94	000000000000000000000000000000000000000000c682b3ddd5fc0f1f8541a2
550344	BTC.TOP	000000000000000001ebf4bc785564756eaa8090733f11faad671c4dec3321e7	2018-10-02 00:05:34	544895942394.45	000000000000000000000000000000000000000000c68332bca919dcb1771ae3
550345	BTC.TOP	0000000000000000004f07e51558988427c118c304ed3d7b613b802adbaec8bc	2018-10-02 00:05:46	551459798157.89	000000000000000000000000000000000000000000c683b322ba3c7bb6dfe7b1
550346	CoinGeek	000000000000000001def7835bb2c511d8b01ed682c8e5aa21e443afea500f82	2018-10-02 00:08:10	556911060905.35	000000000000000000000000000000000000000000c68434cdb84f232434eeaf
550347	BMG Pool	0000000000000000005a56230201f195fad931e70d6de19a16196fe75dd77243	2018-10-02 00:11:06	559931730435.63	000000000000000000000000000000000000000000c684b72cc2d8314e2843b2
550348	ViaBTC	00000000000000000159874557dd8ba15188a33d7957f24df3547888aa57f2d1	2018-10-02 00:43:47	566985565213.6	000000000000000000000000000000000000000000c6853b303fffcc0e1b3e59
